source_company,destination_company,relationship_type,route_mode,transit_days_min,transit_days_max,commodity,risk_level,publicly_known
Aptiv PLC,Volkswagen AG,tier1_supplier,road,3,7,Wiring systems,high,yes
TE Connectivity,Boeing Company,tier1_supplier,road,2,5,Connectors sensors,high,yes
TE Connectivity,Toyota Motor Corporation,tier1_supplier,sea,10,18,Automotive connectors,high,yes
Sumitomo Electric,Toyota Motor Corporation,tier1_supplier,road,1,2,Wiring harness,critical,yes
Sumitomo Electric,Honda Motor Co,tier1_supplier,road,1,2,Wiring harness,high,yes
Bridgestone Corporation,Toyota Motor Corporation,tier1_supplier,road,1,2,OEM tires,high,yes
Michelin Group,Airbus SE,tier1_supplier,road,3,7,Aircraft tires,medium,yes
Michelin Group,Boeing Company,tier1_supplier,sea,15,22,Aircraft tires,medium,yes
ArcelorMittal,Volkswagen AG,tier1_supplier,road,3,7,AHSS steel,high,yes
ArcelorMittal,Ford Motor Company,tier1_supplier,road,3,7,Automotive steel,high,yes
POSCO Holdings,Hyundai Motor,tier1_supplier,road,1,2,Automotive steel,critical,yes
POSCO Holdings,Samsung Electronics,tier1_supplier,road,1,2,Electrical steel,medium,yes
Tata Steel,Jaguar Land Rover,tier1_supplier,road,1,3,Automotive steel UK,high,yes
JSW Steel,Tata Motors,tier1_supplier,road,2,4,Automotive steel,high,yes
Toray Industries,Toyota Motor Corporation,tier1_supplier,road,2,5,Carbon fibre CFRP,high,yes
Toray Industries,Airbus SE,tier1_supplier,sea,15,25,Carbon fibre composites,critical,yes
Toray Industries,Boeing Company,tier1_supplier,sea,18,28,Carbon fibre composites,critical,yes
General Electric,Boeing Company,tier1_supplier,road,2,5,LEAP CFM56 jet engines,critical,yes
Rolls-Royce Holdings,Airbus SE,tier1_supplier,sea,5,12,Trent engines A350,critical,yes
Rolls-Royce Holdings,Boeing Company,tier1_supplier,sea,8,15,Trent engines 787,critical,yes
Safran SA,Airbus SE,tier1_supplier,road,2,5,Landing gear nacelles,critical,yes
Honeywell International,Boeing Company,tier1_supplier,road,1,5,Avionics APU,high,yes
Honeywell International,Airbus SE,tier1_supplier,sea,10,18,Avionics,high,yes
Raytheon Technologies,Boeing Company,tier1_supplier,road,2,5,Pratt & Whitney engines,high,yes
Raytheon Technologies,Airbus SE,tier1_supplier,sea,10,18,Pratt & Whitney A220,high,yes
BAE Systems,Airbus SE,tier1_supplier,road,3,7,Avionics defence systems,high,yes
Leonardo DRS,Airbus SE,tier1_supplier,sea,5,12,Avionics,medium,yes
Embraer SA,Boeing Company,services_partner,sea,,,,medium,yes
Parker Hannifin,Boeing Company,tier1_supplier,road,2,5,Hydraulic fuel systems,high,yes
Parker Hannifin,Airbus SE,tier1_supplier,sea,10,18,Hydraulic systems,high,yes
Saudi Aramco,ExxonMobil Corporation,raw_material,sea,20,30,Crude oil,high,yes
Saudi Aramco,Sinopec,raw_material,sea,22,30,Crude oil,critical,yes
Saudi Aramco,TotalEnergies SE,raw_material,sea,18,25,Crude oil LNG,high,yes
Saudi Aramco,BASF SE,raw_material,sea,20,28,Petrochemical feedstock,high,yes
SABIC,BASF SE,tier1_supplier,sea,20,28,Specialty chemicals,high,yes
Shell PLC,BASF SE,raw_material,pipeline,1,3,Natural gas LNG,high,yes
TotalEnergies SE,BASF SE,raw_material,pipeline,1,3,LNG feedstock,high,yes
ExxonMobil Corporation,Dow Inc,raw_material,road,2,5,Ethylene petrochemical feed,high,yes
Equinor ASA,Shell PLC,raw_material,pipeline,1,3,North Sea crude gas,high,yes
Petrobras,TotalEnergies SE,raw_material,sea,20,30,Deep water crude,medium,yes
CNOOC Limited,Sinopec,raw_material,pipeline,1,2,Offshore crude,high,yes
BP PLC,Bayer AG,raw_material,pipeline,1,4,Petrochemical feedstocks,medium,yes
Sasol Limited,BASF SE,raw_material,sea,18,25,Specialty chemicals,medium,yes
Schlumberger NV,Saudi Aramco,services_supplier,road,1,5,Oilfield services tech,high,yes
Halliburton Company,ExxonMobil Corporation,services_supplier,road,1,5,Oilfield services,high,yes
Halliburton Company,Petrobras,services_supplier,sea,10,20,Oilfield services,medium,yes
BHP Group,POSCO Holdings,tier1_supplier,sea,7,10,Iron ore coking coal,high,yes
BHP Group,ArcelorMittal,tier1_supplier,sea,20,30,Iron ore,high,yes
BHP Group,BASF SE,raw_material,sea,20,30,Copper nickel,medium,yes
Vale SA,ArcelorMittal,tier1_supplier,sea,20,30,Iron ore,high,yes
Vale SA,Tata Steel,tier1_supplier,sea,18,28,Iron ore,high,yes
Vale SA,CATL,raw_material,sea,20,28,Nickel,high,yes
Rio Tinto PLC,Alcoa Corporation,tier1_supplier,sea,20,30,Bauxite alumina,high,yes
Rio Tinto PLC,POSCO Holdings,tier1_supplier,sea,12,18,Iron ore,high,yes
Fortescue Metals,Thyssenkrupp AG,tier1_supplier,sea,18,25,Iron ore,high,yes
Fortescue Metals,POSCO Holdings,tier1_supplier,sea,10,15,Iron ore,high,yes
Anglo American,Thyssenkrupp AG,tier1_supplier,sea,18,25,Coking coal iron ore,high,yes
Freeport-McMoRan,POSCO Holdings,tier1_supplier,sea,12,18,Copper,medium,yes
Freeport-McMoRan,Samsung Electronics,raw_material,sea,12,18,Copper,medium,yes
Newmont Corporation,Barrick Gold,competitor_benchmarked,,,,,medium,yes
Glencore PLC,ArcelorMittal,raw_material,sea,15,25,Coking coal,high,yes
LKAB,SSAB Sweden,tier1_supplier,road,1,2,Iron ore pellets,critical,yes
Linde PLC,Taiwan Semiconductor,tier1_supplier,road,1,5,Ultra-pure gases fab gases,critical,yes
Linde PLC,Samsung Electronics,tier1_supplier,sea,5,10,Specialty fab gases,high,yes
Air Liquide,Airbus SE,tier1_supplier,road,2,5,Industrial gases,medium,yes
Air Products,Intel Corporation,tier1_supplier,road,1,3,Fab gases,high,yes
Air Products,Samsung Electronics,tier1_supplier,sea,5,10,Ultra pure gases,high,yes
Procter & Gamble Co,Walmart Inc,tier1_supplier,road,2,5,Consumer goods,critical,yes
Procter & Gamble Co,Amazon.com Inc,tier1_supplier,road,2,5,Consumer goods,high,yes
Procter & Gamble Co,Costco Wholesale,tier1_supplier,road,2,5,Consumer goods,high,yes
Procter & Gamble Co,Target Corporation,tier1_supplier,road,2,5,Consumer goods,high,yes
Nestlé SA,Walmart Inc,tier1_supplier,sea,10,20,Food beverages,high,yes
Nestlé SA,Amazon.com Inc,tier1_supplier,sea,10,20,Food beverages,medium,yes
Unilever PLC,Walmart Inc,tier1_supplier,sea,12,22,Personal care food,high,yes
Unilever PLC,Amazon.com Inc,tier1_supplier,sea,12,22,Consumer goods,medium,yes
PepsiCo Inc,Walmart Inc,tier1_supplier,road,2,5,Beverages snacks,high,yes
Coca-Cola Company,McDonald's Corporation,tier1_supplier,road,1,3,Beverages syrup,critical,yes
Coca-Cola Company,Walmart Inc,tier1_supplier,road,2,5,Beverages,high,yes
Nestlé SA,Starbucks Corporation,licensing_partner,sea,,,,medium,yes
Wilmar International,Nestlé SA,tier1_supplier,sea,15,25,Palm oil edible oils,high,yes
Wilmar International,Unilever PLC,tier1_supplier,sea,15,25,Palm oil,high,yes
Thai Union Group,Walmart Inc,tier1_supplier,sea,25,35,Canned seafood,medium,yes
Yara International,Nutrien Ltd,competitor_benchmarked,,,,,medium,yes
Nutrien Ltd,Wilmar International,raw_material,sea,20,30,Fertilizers potash,medium,yes
Thermo Fisher Scientific,Pfizer Inc,tier1_supplier,road,2,5,Lab equipment biotech,high,yes
Thermo Fisher Scientific,Johnson & Johnson,tier1_supplier,road,2,5,Lab equipment,high,yes
Thermo Fisher Scientific,AstraZeneca PLC,tier1_supplier,sea,10,18,Lab equipment,high,yes
Roche Holding,Johnson & Johnson,diagnostics_partner,air,1,5,Diagnostic reagents,medium,yes
Sanofi SA,Pfizer Inc,competitor_partner,digital,0,0,API supply agreement,low,yes
Sun Pharmaceutical,Abbott Laboratories,tier2_supplier,sea,12,20,Generic APIs,medium,yes
Dr. Reddy's Laboratories,Pfizer Inc,tier2_supplier,sea,12,20,Generic APIs,medium,yes
Cipla Ltd,GlaxoSmithKline,tier2_supplier,sea,12,20,API manufacturing,medium,yes
Baxter International,Johnson & Johnson,tier2_supplier,road,2,5,IV fluids medical,medium,yes
Pfizer Inc,Walmart Inc,distribution_partner,road,1,3,Pharmaceuticals OTC,high,yes
AstraZeneca PLC,Tata Consultancy Services,services_partner,digital,0,0,Digital transformation,low,yes
SAP SE,Toyota Motor Corporation,services_partner,digital,0,0,ERP software,high,yes
SAP SE,Walmart Inc,services_partner,digital,0,0,Supply chain ERP,high,yes
SAP SE,BMW Group,services_partner,digital,0,0,ERP PLM software,high,yes
SAP SE,Siemens AG,services_partner,digital,0,0,ERP integration,medium,yes
Oracle Corporation,Amazon.com Inc,services_partner,digital,0,0,Cloud database,medium,yes
Tata Consultancy Services,Microsoft Corporation,services_partner,digital,0,0,IT services,medium,yes
Tata Consultancy Services,Boeing Company,services_partner,digital,0,0,Engineering IT,high,yes
Infosys Limited,Apple Inc,services_partner,digital,0,0,IT services,low,yes
Infosys Limited,Airbus SE,services_partner,digital,0,0,IT services,medium,yes
Wipro Limited,Boeing Company,services_partner,digital,0,0,Engineering services,medium,yes
HCL Technologies,Boeing Company,services_partner,digital,0,0,IT engineering services,medium,yes
Maersk Group,Walmart Inc,logistics_partner,sea,,,,medium,yes
Maersk Group,Amazon.com Inc,logistics_partner,sea,,,,medium,yes
Maersk Group,Nike Inc,logistics_partner,sea,,,,medium,yes
Maersk Group,IKEA Sweden,logistics_partner,sea,,,,medium,yes
FedEx Corporation,Apple Inc,logistics_partner,air,1,2,iPhone shipments,high,yes
FedEx Corporation,Amazon.com Inc,logistics_partner,air+road,1,3,Express parcels,high,yes
UPS Inc,Walmart Inc,logistics_partner,road,1,3,Last mile delivery,high,yes
UPS Inc,Nike Inc,logistics_partner,road,1,3,Shoe delivery,medium,yes
Grab Holdings,Sea Limited,competitor_benchmarked,,,,,medium,yes
Adani Group,Reliance Industries,services_partner,road,1,5,Port logistics India,high,yes
Ericsson,Softbank Group,tier1_supplier,sea,10,18,5G RAN equipment,high,yes
Ericsson,Reliance Industries,tier1_supplier,sea,15,25,5G Jio rollout,high,yes
Ericsson,Vodafone Group,tier1_supplier,road,3,7,5G network gear,high,yes
Nokia Corporation,Vodafone Group,tier1_supplier,road,3,7,5G network equipment,high,yes
Nokia Corporation,Softbank Group,tier1_supplier,sea,10,18,5G RAN,medium,yes
Siemens AG,Saudi Aramco,services_supplier,sea,15,25,Power turbines energy,high,yes
Siemens AG,Boeing Company,tier2_supplier,sea,12,20,Factory automation,medium,yes
ABB Ltd,Taiwan Semiconductor,tier2_supplier,sea,18,25,Industrial robots automation,medium,yes
ABB Ltd,Samsung Electronics,tier2_supplier,sea,12,18,Robotics factory,medium,yes
Schneider Electric,Amazon.com Inc,services_supplier,sea,,,,medium,yes
Schneider Electric,Walmart Inc,services_supplier,sea,,,,medium,yes
Nike Inc,Vietnam Manufacturing JV,tier1_supplier,sea,18,28,Footwear,critical,yes
Nike Inc,Indonesia Nickel Corp,tier2_supplier,sea,20,30,Rubber soles via Indonesia,low,yes
H&M Group,Vietnam Manufacturing JV,tier1_supplier,sea,18,28,Apparel,high,yes
H&M Group,Samsung Vietnam,tier2_supplier,sea,15,22,Textile components,low,yes
Samsung Vietnam,Samsung Electronics,tier1_supplier,road,5,10,Assembled smartphones,critical,yes
Sika AG,Volkswagen AG,tier2_supplier,road,2,5,Adhesives sealing,medium,yes
Henkel AG,BMW Group,tier2_supplier,road,2,5,Adhesives automotive,medium,yes
Saint-Gobain,Airbus SE,tier2_supplier,sea,10,18,Glass composites,medium,yes
CRH PLC,Caterpillar Inc,tier2_supplier,road,3,7,Construction aggregates,low,yes
Thyssenkrupp AG,Airbus SE,tier1_supplier,road,3,7,Aluminium titanium,high,yes
Thyssenkrupp AG,Boeing Company,tier1_supplier,sea,15,25,Aerospace materials,high,yes
Yara International,Wilmar International,raw_material,sea,15,25,Nitrogen fertilizers,medium,yes
BASF SE,Yara International,raw_material,road,2,5,Chemical inputs,medium,yes
PTT Global Chemical,Wilmar International,tier2_supplier,sea,10,18,Petrochemicals for agri,low,yes
LVMH,Hermes International,competitor_benchmarked,,,,,medium,yes
Sanofi SA,Roche Holding,competitor_benchmarked,,,,,medium,yes
Delta Electronics,Apple Inc,tier2_supplier,sea,8,15,Power adapters chargers,high,yes
Delta Electronics,Microsoft Corporation,tier2_supplier,sea,8,15,Server power supplies,medium,yes
Kyocera Corporation,Toyota Motor Corporation,tier1_supplier,road,1,3,Automotive ceramics sensors,medium,yes
Kyocera Corporation,Apple Inc,tier2_supplier,sea,8,12,Ceramic components,low,yes
Panasonic Holdings,Amazon.com Inc,tier2_supplier,sea,15,22,Consumer batteries,medium,yes
Panasonic Holdings,Boeing Company,tier2_supplier,sea,15,22,Avionics displays,medium,yes
Sony Group Corporation,Microsoft Corporation,competitor_partner,digital,0,0,Xbox PlayStation cross-licensing,low,yes
Sony Group Corporation,Apple Inc,tier2_supplier,sea,8,15,Image sensors cameras,high,yes
Hitachi Ltd,Mitsubishi Corporation,services_partner,road,1,3,Industrial systems trade,medium,yes
Mitsubishi Corporation,BHP Group,raw_material,sea,8,12,Iron ore coal offtake,high,yes
Mitsui & Co,BHP Group,raw_material,sea,8,12,LNG iron ore offtake,high,yes
Woodside Energy,Softbank Group,raw_material,sea,10,15,LNG supply Japan,high,yes
Woodside Energy,Sinopec,raw_material,sea,12,18,LNG supply China,high,yes
DBS Group,Grab Holdings,services_partner,digital,0,0,Banking fintech partnership,medium,yes
HDFC Bank,Infosys Limited,services_partner,digital,0,0,Core banking IT,medium,yes
HDFC Bank,Tata Consultancy Services,services_partner,digital,0,0,Banking IT services,medium,yes
Bharat Petroleum,Reliance Industries,competitor_benchmarked,,,,,medium,yes
Mahindra & Mahindra,Tata Motors,competitor_benchmarked,,,,,medium,yes
Mahindra & Mahindra,Robert Bosch GmbH,tier1_supplier,sea,12,18,Auto electronics,high,yes
Air Canada,Boeing Company,tier1_supplier,sea,15,25,737 MAX orders,high,yes
Barrick Gold,Freeport-McMoRan,competitor_benchmarked,,,,,medium,yes
Sandvik AB,BHP Group,tier1_supplier,sea,18,25,Mining equipment,high,yes
Sandvik AB,Vale SA,tier1_supplier,sea,20,28,Mining equipment,high,yes
Volvo AB,Samsung Electronics,tier2_supplier,sea,10,18,Electronic components trucks,low,yes
Volvo AB,Maersk Group,services_partner,sea,,,,medium,yes
PTT Global Chemical,BYD Company,raw_material,sea,12,18,Polymer plastics EV parts,medium,yes
Sea Limited,Grab Holdings,competitor_benchmarked,,,,,medium,yes
UCB SA,AstraZeneca PLC,tier2_supplier,sea,10,18,Biologic API,medium,yes
IMEC,ASML Holding,research_partner,road,3,7,EUV research collaboration,medium,yes
Aptiv PLC,Boeing Company,tier2_supplier,road,2,5,Wiring aerospace,medium,yes
TE Connectivity,Airbus SE,tier1_supplier,sea,10,18,Connectors sensors aerospace,high,yes
Linde PLC,BASF SE,tier1_supplier,pipeline,1,3,Industrial gases chemicals,high,yes
Air Liquide,BASF SE,tier1_supplier,pipeline,1,3,Industrial gases,high,yes
DuPont de Nemours,Taiwan Semiconductor,tier1_supplier,sea,18,25,Photoresists chemicals,critical,yes
DuPont de Nemours,Samsung Electronics,tier1_supplier,sea,15,22,Semiconductor chemicals,high,yes
Dow Inc,Procter & Gamble Co,tier1_supplier,road,2,5,Specialty chemicals surfactants,medium,yes
Dow Inc,Unilever PLC,tier1_supplier,sea,12,18,Chemicals FMCG,medium,yes
Akzo Nobel,Airbus SE,tier2_supplier,sea,10,18,Aircraft coatings paints,medium,yes
Akzo Nobel,Boeing Company,tier2_supplier,sea,15,22,Aircraft coatings,medium,yes
Philips N.V.,Johnson & Johnson,diagnostics_partner,sea,10,18,Medical imaging,medium,yes
Philips N.V.,Medtronic PLC,competitor_benchmarked,,,,,medium,yes
Medtronic PLC,Johnson & Johnson,competitor_benchmarked,,,,,medium,yes
Abbott Laboratories,Thermo Fisher Scientific,competitor_benchmarked,,,,,medium,yes
Heineken N.V.,Wilmar International,raw_material,sea,15,25,Barley hops agri inputs,low,yes
Grab Holdings,PTT Global Chemical,services_partner,road,1,5,Fuel logistics Thailand,low,yes
NXP Semiconductors,Volkswagen AG,tier1_supplier,road,3,7,Automotive MCUs radar,critical,yes
NXP Semiconductors,Ford Motor Company,tier1_supplier,road,3,7,Automotive chips,high,yes
NXP Semiconductors,BMW Group,tier1_supplier,road,3,7,V2X radar chips,high,yes
NXP Semiconductors,Tesla Inc,tier1_supplier,road,3,7,Infotainment chips,medium,yes
ON Semiconductor,Tesla Inc,tier1_supplier,road,3,7,SiC power modules,critical,yes
ON Semiconductor,General Motors,tier1_supplier,road,3,7,Image sensors,high,yes
AMD,Amazon.com Inc,tier1_supplier,road,2,5,EPYC server CPUs,high,yes
AMD,Microsoft Corporation,tier1_supplier,road,2,5,EPYC CPUs Xbox chips,high,yes
AMD,Tesla Inc,tier1_supplier,road,2,5,Infotainment APU,medium,yes
Marvell Technology,Amazon.com Inc,tier1_supplier,road,2,5,Custom data centre chips,high,yes
Marvell Technology,Microsoft Corporation,tier1_supplier,road,2,5,Data centre ASICs,high,yes
ZF Friedrichshafen,Volkswagen AG,tier1_supplier,road,1,3,Transmission driveline,critical,yes
ZF Friedrichshafen,BMW Group,tier1_supplier,road,1,3,Automatic gearboxes,high,yes
ZF Friedrichshafen,General Motors,tier1_supplier,road,2,5,Transmissions,high,yes
ZF Friedrichshafen,Hyundai Motor,tier1_supplier,sea,8,15,Automatic transmissions,high,yes
Schaeffler AG,Volkswagen AG,tier1_supplier,road,1,3,Bearings clutch,high,yes
Schaeffler AG,BMW Group,tier1_supplier,road,1,3,Precision bearings,high,yes
Faurecia,Volkswagen AG,tier1_supplier,road,2,5,Seating exhaust systems,high,yes
Faurecia,Ford Motor Company,tier1_supplier,road,2,5,Seating modules,high,yes
Plastic Omnium,BMW Group,tier1_supplier,road,2,5,Bumpers plastic body,medium,yes
Plastic Omnium,Volkswagen AG,tier1_supplier,road,2,5,Body plastic parts,medium,yes
Pirelli & C.,BMW Group,tier1_supplier,road,2,5,OEM performance tyres,high,yes
HELLA GmbH,Volkswagen AG,tier1_supplier,road,1,3,Automotive lighting,high,yes
HELLA GmbH,Ford Motor Company,tier1_supplier,road,2,5,Lighting electronics,medium,yes
Nidec Corporation,Tesla Inc,tier1_supplier,sea,12,20,EV traction motors,critical,yes
Nidec Corporation,Volkswagen AG,tier1_supplier,sea,15,22,EV motors,high,yes
Nidec Corporation,Hyundai Motor,tier1_supplier,sea,8,15,EV drive motors,high,yes
