company_name,ticker,country,sector,industry,edgar_cik
Hitachi Ltd,HTHIY,Japan,Industrials,Diversified Industrial,
Mitsubishi Corporation,MSBHF,Japan,Industrials,Trading Conglomerate,
Airbus SE,EADSY,Netherlands,Industrials,Aerospace & Defense,
ASML Holding,ASML,Netherlands,Technology,Semiconductor Equipment,1091865
Stellantis NV,STLA,Netherlands,Consumer Discretionary,Automobiles,1834585
ArcelorMittal,MT,Luxembourg,Materials,Steel,
Saudi Aramco,2222.SR,Saudi Arabia,Energy,Oil & Gas,
Vale SA,VALE,Brazil,Materials,Mining,1001233
Petrobras,PBR,Brazil,Energy,Oil & Gas,1119639
Embraer SA,ERJ,Brazil,Industrials,Aerospace,1144519
Anglo American,AAUKF,South Africa,Materials,Mining,
Sasol Limited,SSL,South Africa,Energy,Chemicals & Energy,
Taiwan Foxconn,HNHPF,Taiwan,Technology,Electronics Manufacturing,
MediaTek Inc,2454.TW,Taiwan,Technology,Semiconductors,
Mitsui & Co,MITSY,Japan,Industrials,Trading Conglomerate,
Maersk Group,AMKBY,Denmark,Industrials,Shipping & Logistics,
Volvo AB,VLVLY,Sweden,Industrials,Commercial Vehicles,
Ericsson,ERIC,Sweden,Technology,Telecom Equipment,1002655
Schneider Electric,SBGSY,France,Industrials,Energy Management,
