source_company,source_country,destination_company,destination_country,relationship_type,route_mode,transit_days_min,transit_days_max,commodity,route_notes,risk_level,publicly_known
Sasol Limited,South Africa,BASF SE,Germany,raw_material,sea,18,25,Specialty chemicals,Sasol chemicals to European market,medium,yes
Novartis AG,Switzerland,Pfizer Inc,USA,competitor_licensor,digital,,,API licensing,Cross-licensing arrangement,low,yes
AstraZeneca PLC,UK,Pfizer Inc,USA,competitor_partner,digital,,,Vaccine distribution,Distribution partnerships in some markets,low,yes
GlaxoSmithKline,UK,Pfizer Inc,USA,competitor_partner,digital,,,API supply,Some API cross-supply arrangements,low,yes
AbbVie Inc,USA,Pfizer Inc,USA,competitor_benchmarked,,,,,Biologic benchmarking,low,no
Roche Holding,Switzerland,Johnson & Johnson,USA,diagnostics_partner,air,1,5,Diagnostic reagents,Roche diagnostics used in J&J clinical trials,medium,yes
Merck & Co Inc,USA,Johnson & Johnson,USA,competitor_benchmarked,,,,,Pharma benchmark,low,no
Pfizer Inc,USA,Walmart Inc,USA,distribution_partner,road,1,3,Pharmaceuticals OTC,Pfizer products sold via Walmart pharmacy,high,yes
Nestlé SA,Switzerland,Walmart Inc,USA,tier1_supplier,sea+road,10,20,Food and beverage products,Nestlé major CPG supplier to Walmart,high,yes
Procter & Gamble Co,USA,Walmart Inc,USA,tier1_supplier,road,2,5,Consumer goods,P&G largest supplier to Walmart globally,critical,yes
Procter & Gamble Co,USA,Amazon.com Inc,USA,tier1_supplier,road,2,5,Consumer goods,P&G ships direct to Amazon fulfillment centers,high,yes
Unilever PLC,UK,Walmart Inc,USA,tier1_supplier,sea+road,12,22,Personal care food,Unilever major CPG supplier,high,yes
Unilever PLC,UK,Amazon.com Inc,USA,tier1_supplier,sea+road,12,22,Consumer goods,Unilever sells via Amazon Marketplace,medium,yes
Coca-Cola Company,USA,McDonald's Corporation,USA,tier1_supplier,road,1,3,Beverages syrup,Coca-Cola exclusive beverage supplier to McDonalds,critical,yes
Nestlé SA,Switzerland,Starbucks Corporation,USA,licensing_partner,sea,,,Coffee products,Nespresso Starbucks capsule global license deal,high,yes
Nike Inc,USA,Foxconn Taiwan,Taiwan,tier2_supplier,,,,,No direct relation,low,no
Nike Inc,USA,Vietnam factories,Vietnam,tier1_supplier,sea,18,28,Footwear apparel,Nike manufactures 50% of footwear in Vietnam,critical,yes
Nike Inc,USA,Indonesia factories,Indonesia,tier1_supplier,sea,20,30,Footwear,Nike significant manufacturing in Indonesia,high,yes
Adidas AG,Germany,Vietnam factories,Vietnam,tier1_supplier,sea,18,28,Footwear,Adidas major Vietnam manufacturing,high,yes
Volkswagen AG,Germany,Bosch GmbH,Germany,tier1_supplier,road,1,3,Electronic systems fuel injection,Bosch largest auto supplier globally to VW,critical,yes
Toyota Motor Corporation,Japan,Denso Corporation,Japan,tier1_supplier,road,1,2,Electronic components AC systems,Denso Toyota affiliate key supplier,critical,yes
Toyota Motor Corporation,Japan,Aisin Corporation,Japan,tier1_supplier,road,1,2,Drivetrain components,Toyota group company Aisin,critical,yes
Hyundai Motor,South Korea,Hyundai Mobis,South Korea,tier1_supplier,road,1,2,Modules electronic parts,Hyundai group captive supplier,critical,yes
Stellantis NV,Netherlands,Valeo SA,France,tier1_supplier,road,2,5,Driver assistance systems,Valeo ADAS and lighting supplier to Stellantis,high,yes
Airbus SE,Netherlands,Safran SA,France,tier1_supplier,road,2,5,Landing gear engines nacelles,Safran key engine and systems supplier Airbus,critical,yes
Airbus SE,Netherlands,Leonardo DRS,Italy,tier1_supplier,sea,5,12,Avionics defense systems,Leonardo supplies avionics to Airbus,medium,yes
Ericsson,Sweden,Softbank Group,Japan,tier1_supplier,sea,10,18,5G network equipment,Ericsson 5G RAN equipment for SoftBank Japan,high,yes
Ericsson,Sweden,Reliance Industries,India,tier1_supplier,sea,15,25,5G telecom equipment,Ericsson 5G gear for Jio India rollout,high,yes
Schneider Electric,France,Walmart Inc,USA,services_supplier,sea+road,,,Energy management systems,Schneider electric management for Walmart DCs,medium,yes
Schneider Electric,France,Amazon.com Inc,USA,services_supplier,sea,,,Data center power,Schneider UPS and power for AWS data centers,high,yes
Siemens AG,Germany,Boeing Company,USA,tier2_supplier,sea,12,20,Automation industrial systems,Siemens factory automation for Boeing plants,medium,yes
Siemens AG,Germany,Airbus SE,Netherlands,tier2_supplier,road,2,5,Digital twin software automation,Siemens PLM software for Airbus design,medium,yes
SAP SE,Germany,Toyota Motor Corporation,Japan,services_partner,digital,0,0,ERP software,SAP ERP runs Toyota global operations,high,yes
SAP SE,Germany,Walmart Inc,USA,services_partner,digital,0,0,ERP supply chain software,SAP supply chain platform at Walmart,high,yes
Mitsubishi Corporation,Japan,Cargill USA,USA,raw_material,sea,,,Agricultural commodities,Mitsubishi trades grain and food commodities,medium,yes
Mitsui & Co,Japan,BHP Group,Australia,raw_material,sea,8,12,Iron ore coal,Mitsui long-term offtake agreements with BHP,high,yes
MediaTek Inc,Taiwan,Xiaomi Corporation,China,tier1_supplier,sea,5,10,Smartphone SoCs,MediaTek Dimensity chips power Xiaomi phones,high,yes
MediaTek Inc,Taiwan,Samsung Electronics,South Korea,tier1_supplier,sea,5,10,Mid-range SoCs,MediaTek chips in Samsung Galaxy A series,high,yes
Broadcom Inc,USA,Apple Inc,USA,tier1_supplier,road+air,1,5,WiFi Bluetooth chips custom ASIC,Broadcom wireless chips in all iPhones,high,yes
Broadcom Inc,USA,Samsung Electronics,South Korea,tier1_supplier,sea,12,18,Networking chips,Broadcom chips in Samsung enterprise gear,medium,yes
